schoolcampus,dbn,bldg_code
YORKVILLE COMMUNITY SCHOOL (MANHATTAN),02M151,M066
PS 152(MANHATTAN),06M152,M152
PS 153(MANHATTAN),06M153,M153
PS 154(MANHATTAN),85M154,M154
PS 155(MANHATTAN),04M155,M155
THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE(MN),05M157,M501
PS 158(MANHATTAN),02M158,M158
PS 161(MANHATTAN),85M161,M161
P162(MN),75M162,M149
PS 163(MANHATTAN),03M163,M163
PS 165(MANHATTAN),03M165,M165
PS 166(MANHATTAN),03M166,M166
IS/JHS 167(MN),02M167,M167
P169(MN),75M169,M169
SUCCESS ACADEMY CHARTER SCHOOL - MANHATTAN 2- HELL'S KITCHEN(MS),84M170,M625
PS 171(MANHATTAN),04M171,M171
PS 173(MANHATTAN),06M173,M173
SUCCESS ACADEMY CHARTER SCHOOL - MANHATTAN 1 - UNION SQUARE(MS),84M174,M460
PS 175(MANHATTAN),05M175,M175
YORKVILLE EAST MIDDLE SCHOOL(MN),02M177,M158
PS 178(MANHATTAN),06M178,M178
PS 180(MANHATTAN),85M180,M180
THE BILINGUAL BICULTURAL SCHOOL PS 182(MN),04M182,M083
PS 183(MANHATTAN),02M183,M183
PS 184-SHUANG WEN(MANHATTAN),01M184,M137
PS 185(MANHATTAN),03M185,M185
PS 187(MANHATTAN),06M187,M187
PS 188 THE ISLAND SCHOOL(MANHATTAN),01M188,M188
PS 189(MANHATTAN),06M189,M189
PS 191M,03M191,M342
PS 192 (MANHATTAN),06M192,M192
PS 194 COUNTEE CULLEN(MN),05M194,M194
PS 197(MANHATTAN),05M197,M197
PS 198(MANHATTAN),02M198,M198
PS 199(MANHATTAN),03M199,M199
PS 200(MANHATTAN),05M200,M200
PS 206(MANHATTAN),04M206,M206
PS 208(MANHATTAN),03M208,M208
PS/IS 210 21ST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP(MANHATTAN),06M210,M093
PS/IS 217 ROOSEVELT ISLAND(MN),02M217,M271
IS 218(MN),06M218,M218
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3(MN),84M385,M099
ELLA BAKER SCHOOL PS 225(MN),02M225,M480
PS 234(MANHATTAN),02M234,M234
STEM INSTITUTE OF MANHATTAN(MN),03M241,M113
PS 242 (MANHATTAN),03M242,M144
MS 255 SALK SCHOOL OF SCIENCE(MS),02M255,M040
IS/JHS 256(MN),03M256,M118
BATTERY PARK CITY SCHOOL(MS),02M276,M276
PAUL HEDBAVNY SCHOOL PS/IS 278(MN),06M278,M918
THE OPPORTUNITY CHARTER SCHOOL(MN),84M279,M113
MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING(MS),02M280,M520
THE RIVER SCHOOL(MS),02M281,M281
URBAN ASSEMBLY MAKER ACADEMY(MS),02M282,M520
HARLEM RENAISSANCE HS(MN),79M285,M911
FOOD & FINANCE HS(MS),02M288,M535
IS 289(MS),02M289,M089
PS 290(MANHATTAN),02M290,M190
WEST END SECONDARY SCHOOL,03M291,M837
ORCHARD COLLEGIATE ACADEMY,01M292,M056
CITY COLLEGE ACADEMY OF THE ARTS(MN),06M293,M218
ESSEX STREET ACADEMY(MS),02M294,M445
SEWARD PARK GED(MANHATTAN),71M446,M445
SEWARD PARK HS(MANHATTAN),02M445,M445
MS 297M@PS/IS 323M,02M297,M323
PACE HS(MS),02M298,M131
HS FOR ARTS IMAGINATION & INQUIRY(MN),03M299,M490
THE URBAN ASSEMBLY SCHOOL OF DESIGN & CONSTRUCTION(MANHATTAN),02M300,M535
"TECHNOLOGY,ARTS,AND SCIENCES STUDIO(MANHATTAN)",01M301,M019
KAPPA IV(MN),05M302,M136
THE FACING HISTORY SCHOOL(MANHATTAN),02M303,M535
MOTT HALL HS(MN),05M304,M136
THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN),02M305,M445
THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES(MLK EDUCATIONAL CAMPUS),03M307,M490
LOWER MANHATTAN ARTS ACADEMY(MS),02M308,M445
THE JAMES BALDWIN SCHOOL:A SCHOOL FOR EXPEDITIONARY LEARNING(MANHATTAN),02M313,M440
THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN(MS),02M316,M282
THURGOOD MARSHALL ACADEMY LOWER SCHOOL(MANHATTAN),05M318,M371
MS 319 MARIA TERESA(MN),06M319,M090
MIDDLE SCHOOL 322(MN),06M322,M218
MS 324 PATRIA(MN),06M324,M090
MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY(MN),06M328,M164
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL(MANHATTAN),01M332,M056
PS 333 MANHATTAN SCHOOL FOR CHILDREN(MANHATTAN),03M333,M118
THE ANDERSON SCHOOL(MN),03M334,M044
HARLEM VILLAGE ACADEMIES LEADERSHIP CHARTER SCHOOL(MN),84M335,M045
KIPP INFINITY CHARTER SCHOOL(MN),84M336,M195
PS 343 - THE PECK SLIP SCHOOL,02M343,M343
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS(MN),06M346,M814
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL(MANHATTAN),06M348,M143
HARBOR HEIGHTS MIDDLE SCHOOL(MN),06M349,M173
SUCCESS ACADEMY HARLEM CENTRAL(MN),05M357,M389
BROWNSVILLE ACADEMY HS(BN),17K568,K907
WASHINGTON HEIGHTS ACADEMY (MANHATTAN),06M366,M263
HAMILTON HEIGHTS SCHOOL (MN),06M368,M153
THE URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS (MANHATTAN),05M369,M043
ESPERANZA PREPARATORY ACADEMY(MN),04M372,M117
GRAMMERCY ARTS HS(MS),02M374,M460
NYC ISCHOOL(MS),02M376,M615
RENAISSANCE SCHOOL OF THE ARTS(MANHATTAN),04M377,M155
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 2(MN),84M384,M030
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 4(MN),84M386,M113
ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL(MN),84M388,M092
MANHATTAN BUSINESS ACADEMY(MS),02M392,M440
BUSINESS OF SPORTS SCHOOL(MS),02M393,M625
EMMA LAZARUS HS(MS),02M394,M131
SPRUCE STREET SCHOOL(MS),02M397,M971
THE HS FOR LANGUAGE & DIPLOMACY(MANHATTAN),02M399,M460
HS FOR ENVIRONMENTAL STUDIES(MS),02M400,M834
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS(MANHATTAN),03M402,M470
THE GLOBAL LEARNING COLLABORATIVE(MANHATTAN),03M403,M470
INNOVATION DIPLOMA PLUS(MANHATTAN),03M404,M470
ICE INSTITUTE FOR COLLABORATIVE EDUCATION(MS),02M407,M475
PROFESSIONAL PERFORMING ARTS SCHOOL-PPAS(MS),02M408,M017
COALITION SCHOOL FOR SOCIAL CHANGE(MN),02M409,M045
BARUCH COLLEGE CAMPUS HS(MS),02M411,M874
SCHOOL OF THE FUTURE HS(MANHATTAN),02M413,M660
NYC MUSEUM SCHOOL(MS),02M414,M070
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS(MANHATTAN),03M415,M088
ELEANOR ROOSEVELT HS(MN),02M416,M855
FRANK MCCOURT HS(MN),03M417,M470
MILLENIUM HS(MS),02M418,M824
LANDMARK HS(MS),02M419,M440
HS FOR HEALTH PROFESSIONS & HUMAN SERVICES(MS),02M420,M475
WEST PREP ACADEMY(MANHATTAN),03M421,M145
QUEST TO LEARN(MS),02M422,M440
HS FOR EXCELLENCE & INNOVATION(MN),06M423,M052
LEADERSHIP & PUBLIC SERVICE HS(MS),02M425,M894
MANHATTAN ACADEMY FOR ARTS & LANGUAGE(MS),02M427,M620
LEGACY SCHOOL FOR INTEGRATED STUDIES(MS),02M429,M883
MURRAY HILL ACADEMY(MS),02M432,M620
MANHATTAN CENTER FOR SCIENCE & MATHEMATICS(MN),04M435,M435
HUDSON HS OF LEARNING TECHNOLOGIES(MS),02M437,M440
INTERNATIONAL HS AT UNION SQUARE(MS),02M438,M460
MANHATTAN VILLAGE ACADEMY(MS),02M439,M873
BALLET TECH NYC PUBLIC SCHOOL FOR DANCE(MS),02M442,M905
INDEPENDENCE HS(MS),02M544,M834
UNIVERSITY NEIGHBORHOOD HS(MANHATTAN),01M448,M446
VANGUARD HS(MANHATTAN),02M449,M480
EAST SIDE COMMUNITY HS(MS),01M450,M060
PS 452M,03M452,M191
GEORGE WASHINGTON HS(MN),06M465,M465
FORSYTH SATELLITE ACADEMY(MS),01M458,M510
THE COLLEGE ACADEMY(MN),06M462,M465
HS FOR MEDIA & COMMUNICATIONS(MN),06M463,M465
HS FOR LAW & PUBLIC SERVICE(MN),06M467,M465
HS FOR HEALTH CAREERS & SCIENCES(MN),06M468,M465
CHOIR ACADEMY OF HARLEM(MN),05M469,M501
LOUIS D. BRANDEIS HS(MN),03M470,M470
STUYVESANT HS(MANHATTAN),02M475,M477
BEACON HIGH SCHOOL (MS),02M479,M912
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 5(MN),84M482,M123
FIORELLO H LAGUARDIA HS OF MUSIC ART & PERFORMING ARTS(MN),03M485,M485
HS OF ECONOMICS & FINANCE(MS),02M489,M833
HS FOR LAW ADVOCACY & COMMUNITY JUSTICE(MN),03M492,M490
HS OF ARTS & TECHNOLOGY(MN),03M494,M490
PARK EAST HS(MN),04M495,M495
FREDERICK DOUGLASS ACADEMY I(MN),05M499,M010
WEST SIDE HS(MANHATTAN),79M505,M506
URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY(MS),02M507,M625
CASTLE BRIDGE SCHOOL(MN),06M513,M128
NEW DESIGN MIDDLE SCHOOL(MN),05M514,M195
TEACHERS COLLEGE COMMUNITY SCHOOL(MN),05M517,M916
TALENT UNLIMITED HS(MANHATTAN),02M519,M480
MURRY BERGTRAUM HS FOR BUSINESS CAREERS(MS),02M520,M520
PS 527 EAST SIDE SCHOOL FOR SOCIAL ACTION(MN),02M527,M816
IS 528(MN),06M528,M528
JACQUELINE K ONASSIS HS(MS),02M529,M486
REPERTORY COMPANY HS FOR THEATRE ARTS(MANHATTAN),02M531,M896
UNION SQUARE ACADEMY FOR HEALTH SCIENCES(MS),02M533,M460
PARK WEST HS(MS),07M535,M535
"NEW EXPLORATIONS INTO SCIENCE,TECHNOLOGY & MATH SCHOOL-NEST+M(MS)",01M539,M022
AP RANDOLPH CAMPUS HS(MN),06M540,M540
MANHATTAN HUNTER SCIENCE HS(MN),03M541,M490
MANHATTAN BRIDGES HS(MS),02M542,M535
NEW DESIGN HS(MS),02M543,M445
ACADEMY FOR SOFTWARE ENGINEERING(MS),02M546,M460
LIBERTY HS ACADEMY FOR NEWCOMERS(MS),79M550,M451
URBAN ASSEMBLY NEW YORK HARBOR SCHOOL(MS),02M551,M877
GREGORIO LUPERON HS FOR SCIENCE & MATHEMATICS(MN),06M552,M876
CITY AS SCHOOL LOWER MANHATTAN OUTREACH(MS),79M502,M641
SATELLITE ACADEMY HS(MANHATTAN),02M570,M920
MANHATTAN COMPREHENSIVE DAY & NIGHT HS(MS),02M575,M661
BRANDEIS YABC(MN),03M577,M470
RICHARD R. GREEN HS OF TEACHING(MS),02M580,M282
HARVEY MILK HS(MS),02M586,M807
THE HS OF FASHION INDUSTRIES(MANHATTAN),02M600,M600
HUMANITIES PREPARATORY ACADEMY(MS),02M605,M440
YOUNG WOMEN LEADERSHIP SCHOOL/MANHATTAN CAMPUS(MANHATTAN),04M610,M895
CHELSEA CAREER & TECHNICAL EDUCATION HS(MS),02M615,M615
ART & DESIGN HS @PS 59M(MS),02M630,M488
SCHOOL OF CO-OP TECH. ED.(MANHATTAN),79M645,M646
CASCADE HS FOR TEACHING & LEARNING(MS),01M650,M510
LIFE SCIENCES SECONDARY SCHOOL(MN),02M655,M645
THURGOOD MARSHALL ACADEMY FOR LEARNING & CHANGE (MANHATTAN),05M670,M970
THE HERITAGE SCHOOL(MANHATTAN),04M680,M107
BREAD & ROSES INTEGRATED ARTS  HS(MN),05M685,M136
BARD HS EARLY COLLEGE(MS),01M696,M097
HARLEM PREP CHARTER SCHOOL(MN),84M708,M121
P721 OTC(MS),75M721,M641
MANHATTAN SCHOOL FOR CAREER DEVELOPMENT P751(MS),75M751,M751
P811 MICKEY MANTLE SCHOOL(MN),75M811,M841
ISAAC NEWTON JHS FOR SCIENCE & MATH(MN),09M825,M435
SPECIAL MUSIC SCHOOL(MN),03M859,M932
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL(MN),03M860,M088
FUTURE LEADERS INSTITUTE CHARTER SCHOOL(MN),84M861,M144
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL(MS),02M896,M282
WASHINGTON IRVING HS(MANHATTAN),02M460,M460
CITY KNOLL MIDDLE SCHOOL (02M933),02M933,M933
CENTRAL PARK EAST II(MN),04M964,M050
PS 132 ANNEX SUSPENSION SITE(MN),06M993,M233
PS 2(QUEENS),30Q002,Q002
P4@P179(QS),75Q004,Q179
IS 5(QN),24Q005,Q005
PS 7(QUEENS),24Q007,Q007
IS 10 HORACE GREELEY(QN),30Q010,Q010
PS 11(QN),30Q011,Q011
PS 12(QN),24Q012,Q012
PS 13(QN),24Q013,Q013
PS 14(QN),24Q014,Q014
PS 15(QUEENS),29Q015,Q015
PS 16(QUEENS),24Q016,Q721
PS 18(QUEENS),26Q018,Q018
PS 19(QUEENS),24Q019,Q019
PS 20(QUEENS),25Q020,Q020
PS 21(QUEENS),25Q021,Q021
PS 22(QUEENS),25Q022,Q022
PS 24(QUEENS),25Q024,Q024
IS 25(QN),25Q025,Q025
PS 26(QUEENS),26Q026,Q026
PS 28 (QUEENS),24Q028,Q028
PS 29(QUEENS),25Q029,Q029
PS 31(QUEENS),26Q031,Q031
PS 32(QUEENS),25Q032,Q032
PS 33(QUEENS),29Q033,Q033
PS 34(QUEENS),29Q034,Q034
PS 35(QUEENS),29Q035,Q035
PS 36(QUEENS),29Q036,Q036
PS 37(QUEENS),29Q037,Q037
PS 38(QUEENS),29Q038,Q038
PS 40(QUEENS),85Q040,Q040
PS 42(QUEENS),27Q042,Q042
PS 43(QUEENS),27Q043,Q043
PS 45(QUEENS),27Q045,Q045
PS 46(QUEENS),26Q046,Q046
PS 49(QUEENS),24Q049,Q049
PS 50(QUEENS),28Q050,Q050
IS 53(QS),27Q053,Q053
PS 55(QUEENS),28Q055,Q055
PS 56(QUEENS),27Q056,Q056
PS 58(QUEENS),24Q058,Q058
IS/JHS 59(QS),29Q059,Q059
PS 60(QUEENS),27Q060,Q060
IS 61(QN),24Q061,Q061
PS 62(QUEENS),27Q062,Q062
PS 63(QUEENS),27Q063,Q063
PS 64(QUEENS),27Q064,Q064
PS 65(QUEENS),27Q065,Q884
PS 66(QUEENS),27Q066,Q066
MS 67(QN),26Q067,Q067
PS 68 CAMBRIDGE(QUEENS),24Q068,Q068
PS 69(QUEENS),30Q069,Q069
PS 70(QUEENS),30Q070,Q070
PS 71(QUEENS),24Q071,Q071
MS 72(QS),28Q072,Q072
IS 73(QN),24Q073,Q073
MS 74(QN),26Q074,Q074
ROBERT E. PEARY (PS 75)(QN),75Q075,Q075
PS 76(QUEENS),30Q076,Q076
IS 77(QN),24Q077,Q849
PS 80(QUEENS),28Q080,Q080
PS 81(QUEENS),24Q081,Q081
PS 82 HAMMOND(QUEENS),28Q082,Q082
PS 84(QUEENS),30Q084,Q084
PS 86(QUEENS),28Q086,Q086
PS 87(QUEENS),24Q087,Q087
PS 88(QUEENS),24Q088,Q088
PS 89(QUEENS),24Q089,Q089
PS 90(QUEENS),27Q090,Q090
PS 91(QUEENS),24Q091,Q091
PS 92(QUEENS),30Q092,Q292
IS 93(QN),24Q093,Q093
PS 95(QUEENS),29Q095,Q095
PS 96(QUEENS),27Q096,Q096
PS 97(QUEENS),27Q097,Q097
PS 99(PBQS),28Q099,Q099
PS 100(QS),27Q100,Q100
PS 101(QN),28Q101,Q101
PS 102(QN),24Q102,Q102
PS 104(QS),27Q104,Q104
PS 105(QS),27Q105,Q105
PS 106(QS),27Q106,Q106
PS 107(QN),25Q107,Q107
PS 108(QS),27Q108,Q108
PS 111 JACOB BLACKWELL(QN),30Q111,Q111
PS 112(QN),30Q112,Q112
PS 113 ISAAC CHAUNCEY(QN),24Q113,Q113
PS 116(QS),29Q116,Q116
PS 117(QS),28Q117,Q117
IS 119(QN),24Q119,Q119
PS 120(QN),25Q120,Q120
PS 121(QS),28Q121,Q121
PS 122 MAMIE FAY(QN),30Q122,Q122
PS 123(QS),27Q123,Q123
PS 124 OSMOND A CHURCH(QS),27Q124,Q124
IS 125(QN),24Q125,Q125
IS 126 ALBERT SHANKER SCHOOL FOR VISUAL & PERFORMING ARTS(QN),30Q126,Q126
PS 127 AEROSPACE & SCIENCE ACADEMY(QN),30Q127,Q127
PS 128 JUNIPER VALLEY(QN),24Q128,Q247
PS 129(QN),25Q129,Q129
PS 131(QS),29Q131,Q131
PS 132(QS),29Q132,Q132
PS 135(QS),29Q135,Q135
PS 136(QS),29Q136,Q136
MS 137(QS),28Q137,Q137
PS 138(QS),29Q138,Q138
PS 139(QN),28Q139,Q139
IS 141 STEINWAY(QN),30Q141,Q141
PS 144(QN),28Q144,Q144
IS 145 JOSEPH PULITZER(QN),30Q145,Q145
PS 146(QS),27Q146,Q146
PS 147 RONALD MCNAIR(QS),29Q147,Q147
PS 148(QN),30Q148,Q148
PS 149(QN),30Q149,Q149
PS 151(QUEENS),30Q151,Q151
PS 152(QUEENS),30Q152,Q152
PS 153(QUEENS),24Q153,Q153
PS 154(QUEENS),25Q154,Q154
PS 156(QUEENS),29Q156,Q156
JHS 157(QN),28Q157,Q157
MS 158(QN),26Q158,Q158
PS 159(QUEENS),26Q159,Q159
PS 160(QUEENS),28Q160,Q160
PS 161(QUEENS),28Q161,Q161
PS 163(QUEENS),25Q163,Q163
PS 164(QUEENS),25Q164,Q164
PS 165(QUEENS),25Q165,Q165
PS 166(QUEENS),30Q166,Q166
METROPOLITAN EXPEDITIONARY LEARNING SCHOOL(QN),28Q167,Q686
JHS 168(QS),25Q168,Q168
PS 169(QUEENS),25Q169,Q169
PS 171(QUEENS),30Q171,Q171
MS 172(QS),26Q172,Q172
PS 173(QUEENS),26Q173,Q173
PS 174(QUEENS),28Q174,Q174
PS 175(QUEENS),28Q175,Q175
PS 176 CAMBRIA HEIGHTS(QUEENS),29Q176,Q176
P177(QN),75Q177,Q177
PS 178(QUEENS),26Q178,Q178
PS 182 SAMANTHA SMITH(QS),28Q182,Q277
PS 183(QUEENS),27Q183,Q183
PS 186(QUEENS),26Q186,Q186
PS 188(QUEENS),26Q188,Q188
JHS 189(QN),25Q189,Q189
JHS 190(QN),28Q190,Q190
PS 191(QUEENS),26Q191,Q191
IS 192(QS),29Q192,Q192
PS 193(QUEENS),25Q193,Q193
JHS 194(QN),25Q194,Q194
PS 195(QUEENS),29Q195,Q195
PS 197(QUEENS),27Q197,Q197
PS 199(QN),24Q199,Q199
PS 200(QUEENS),25Q200,Q200
PS 201(QUEENS),25Q201,Q201
MS 202(QS),27Q202,Q202
PS 203(QUEENS),26Q203,Q203
IS 204 OLIVER WENDELL HOLMES(QN),30Q204,Q204
PS 205(QUEENS),26Q205,Q205
PS 206(QUEENS),28Q206,Q206
PS 207(QUEENS),27Q207,Q207
PS/IS 208 (QUEENS),26Q208,Q208
PS 209(QUEENS),25Q209,Q209
MS 210(QS),27Q210,Q210
PS 212(QUEENS),30Q212,Q212
PS 213(QUEENS),26Q213,Q213
PS 214(QUEENS),25Q214,Q214
MS 216(QS),26Q216,Q216
JHS 217(QS),28Q217,Q217
PS 219(QUEENS),25Q219,Q219
PS 220(QUEENS),28Q220,Q220
PS 221(QUEENS),26Q221,Q221
PS 223(QUEENS),27Q223,Q223
P224(QS),75Q224,Q186
IS 227 LOUIS ARMSTRONG MIDDLE SCHOOL(QN),30Q227,Q227
PS 229(QUEENS),24Q229,Q229
IS 230(QN),30Q230,Q230
COMMUNITY VOICES MIDDLE SCHOOL(QS),29Q356,Q356
PS 234(QUEENS),30Q234,Q234
ACADEMY FOR NEW AMERICANS IS 235(QN),30Q235,Q234
INTERNATIONAL HS FOR HEALTH SCIENCES(QN),24Q236,Q455
IS 237(QN),25Q237,Q237
IS 238(QS),29Q238,Q238
PS 239 (QUEENS),24Q239,Q239
PS 242(QUEENS),25Q242,Q242
INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS(QS),29Q243,Q490
QUEENS PREPARATORY ACADEMY(QUEENS),29Q248,Q420
IS 250(QS),25Q250,Q168
PS 251(QUEENS),29Q251,Q251
THE QUEENS SCHOOL OF INQUIRY(QUEENS),25Q252,Q168
PS 253(QUEENS),27Q253,Q253
PS 254(QUEENS),27Q254,Q254
ENERGY TECH HS(QN),30Q258,Q204
PATHWAYS COLLEGE PREPARATORY SCHOOL(QS),29Q259,Q192
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL(QS),27Q260,Q465
VOYAGES PREP SOUTH QUEENS(QS),27Q261,Q400
FLUSHING INTERNATIONAL HS(QN),25Q263,Q189
ACADEMY OF FINANCE & ENTERPRISE(QN),24Q264,Q735
EXCELSIOR PREPARATORY HS(QS),29Q265,Q420
PS/IS 266 (QUEENS),26Q266,Q266
HS OF APPLIED COMMUNICATION(QN),24Q267,Q735
PS 268 (QUEENS),29Q268,Q268
PS 270(QUEENS),29Q270,Q270
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES(QUEENS)(QS),29Q272,Q420
THE RIVERVIEW SCHOOL(QN),75Q277,Q777
PS 280(QUEENS),30Q280,Q280
EAST WEST SCHOOL OF INTERNATIONAL STUDIES(QN),25Q281,Q237
KAPPA VI(QS),27Q282,Q465
PREPARATORY ACADEMY FOR WRITERS(QS),29Q283,Q420
YOUNG WOMEN LEADERSHIP SCHOOL ASTORIA(QUEENS),30Q286,Q739
QUEENS UNITED MIDDLE SCHOOL(QS),29Q289,Q156
ACE ACADEMY FOR SCHOLARS@GERALDINE FERRARO CAMPUS(PS 290)(QN),24Q290,Q290
CIVIC LEADERSHIP ACADEMY(QN),24Q293,Q744
BELL ACADEMY(QN),25Q294,Q169
PS/IS 295 (QS),29Q295,Q263
PAN AMERICAN INTERNATIONAL HS(QN),24Q296,Q744
BARD HS EARLY COLLEGE II(QN),24Q299,Q735
ACAD FOR CAREERS IN TELEVISION & FILM(QN),30Q301,Q404
"QUEENS HS FOR INFORMATION,RESEARCH & TECHNOLOGY (QUEENS)",27Q302,Q465
LEARNERS & LEADERS(QN),24Q305,Q245
